 2016-12-09 09:24:48,206 [P6544/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on HC-LAB
 2016-12-09 09:24:48,249 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-12-09 09:24:48,270 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 20ms)
 2016-12-09 09:24:48,383 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-12-09 09:24:48,964 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 581ms)
 2016-12-09 09:24:48,993 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-12-09 09:24:49,008 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 14ms)
 2016-12-09 09:24:49,008 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-12-09 09:24:49,024 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 15ms)
 2016-12-09 09:24:49,066 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-12-09 09:24:49,076 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 9ms)
 2016-12-09 09:24:49,077 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-12-09 09:24:49,095 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 18ms)
 2016-12-09 09:24:49,165 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-12-09 09:24:49,177 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 11ms)
 2016-12-09 09:24:49,178 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-12-09 09:24:49,190 [P6544/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 11ms)
 2016-12-09 09:24:51,644 [P6544/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-09 09:24:52,448 [P6544/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-09 09:24:52,514 [P6544/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-12-09 09:24:52,779 [P6544/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-12-09 09:24:52,997 [P6544/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-12-09 09:24:52,997 [P6544/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-12-09 09:24:53,023 [P6544/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 4952ms)
 2016-12-09 09:24:53,446 [P6544/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:17606/umbraco (UmbracoModule request)
 2016-12-09 09:24:54,003 [P6544/D2/T10] INFO  umbraco.content - Load Xml from file...
 2016-12-09 09:24:54,019 [P6544/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2016-12-09 09:24:55,372 [P6544/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-12-09 09:24:55,394 [P6544/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 22ms)
 2016-12-09 09:25:21,386 [P6544/D2/T18] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2016-12-09 09:25:21,400 [P6544/D2/T18] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 14ms)
 2016-12-09 09:25:21,698 [P6544/D2/T18] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2016-12-09 09:25:21,705 [P6544/D2/T18] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 7ms)
 2016-12-09 09:25:54,201 [P6544/D2/T16] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2016-12-08 09:25:54
