 2016-11-02 09:47:38,956 [P3224/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on NODE-PC
 2016-11-02 09:47:39,000 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2016-11-02 09:47:39,018 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 17ms)
 2016-11-02 09:47:39,123 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2016-11-02 09:47:39,219 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 96ms)
 2016-11-02 09:47:39,283 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2016-11-02 09:47:39,284 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 1ms)
 2016-11-02 09:47:39,285 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2016-11-02 09:47:39,287 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 1ms)
 2016-11-02 09:47:39,308 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2016-11-02 09:47:39,310 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 1ms)
 2016-11-02 09:47:39,311 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2016-11-02 09:47:39,318 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 7ms)
 2016-11-02 09:47:39,412 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2016-11-02 09:47:39,414 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 2ms)
 2016-11-02 09:47:39,415 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2016-11-02 09:47:39,416 [P3224/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 1ms)
 2016-11-02 09:47:41,211 [P3224/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-02 09:47:41,671 [P3224/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-02 09:47:41,715 [P3224/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2016-11-02 09:47:41,856 [P3224/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2016-11-02 09:47:42,046 [P3224/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2016-11-02 09:47:42,046 [P3224/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2016-11-02 09:47:42,072 [P3224/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 3211ms)
 2016-11-02 09:47:43,005 [P3224/D2/T10] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:17606/umbraco (UmbracoModule request)
 2016-11-02 09:47:43,602 [P3224/D2/T10] INFO  umbraco.content - Load Xml from file...
 2016-11-02 09:47:43,612 [P3224/D2/T10] INFO  umbraco.content - Loaded Xml from file.
 2016-11-02 09:47:44,511 [P3224/D2/T10] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2016-11-02 09:47:44,515 [P3224/D2/T10] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 3ms)
